business_name,website,address,city,province,zip,country,source,search_query,place_id,vicinity,latitude,longitude,formatted_phone_number,international_phone_number,rating,user_ratings_total,price_level,google_maps_url,business_status,opening_hours_available,photos_count,primary_type,editorial_summary,types,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine
Urban Print Shop,https://www.urbanprintshop.ca/,7993 Enterprise St,Burnaby,BC,V5A 1V5,CA,google_places_text_search,fine art printing in Burnaby BC Canada,ChIJLxWa2NJ3hlQR0WnVWJflCGk,"7993 Enterprise St, Burnaby",49.255858,-122.9329292,(604) 420-3298,+1 604-420-3298,5,11,,https://maps.google.com/?cid=7568551611989322193,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Pete Prints Inc.,http://www.peteprints.com/,7228 Winston St,Burnaby,BC,V5A 2G9,CA,google_places_text_search,fine art printing in Burnaby BC Canada,ChIJy332t2x5hlQRwMDjZfGj8e4,"7228 Winston St, Burnaby",49.249443,-122.9534339,(778) 871-7383,+1 778-871-7383,5,35,,https://maps.google.com/?cid=17217723107605987520,OPERATIONAL,true,,establishment,,establishment;point_of_interest;store,,,,,,,
KeenArt Media Ltd.,http://www.vancouveroncanvas.com/,2717 Lake City Way,Burnaby,BC,V5A 2Z6,CA,google_places_text_search,fine art printing in Burnaby BC Canada,ChIJz-s-CX13hlQRr4nfREYaDo4,"2717 Lake City Way, Burnaby",49.2599842,-122.9382345,(604) 421-8000,+1 604-421-8000,4.6,64,,https://maps.google.com/?cid=10236147892165249455,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Colorama Digital Printing,https://imprinta.ca/,621 Belmont St,New Westminster,BC,V3M 6A1,CA,google_places_text_search,fine art printing in Burnaby BC Canada,ChIJ6f7SRN93hlQRJ5H_EKxrDw4,"621 Belmont St, New Westminster",49.211975,-122.920656,(604) 517-0672,+1 604-517-0672,4.5,150,,https://maps.google.com/?cid=1013146827945382183,OPERATIONAL,true,1,establishment,,establishment;locksmith;point_of_interest;store,,,,,,,
Xpress Fine Art Printing,https://www.instagram.com/xpressfineart.prints,767 Rochester Ave,Coquitlam,BC,V3K 2W1,CA,google_places_text_search,fine art printing in Burnaby BC Canada,ChIJOwr83Bh5hlQROlqQ-OnLEdQ,"767 Rochester Ave, Coquitlam",49.2456039,-122.8782806,(604) 779-2810,+1 604-779-2810,5,3,,https://maps.google.com/?cid=15281219216402831930,OPERATIONAL,false,,establishment,,establishment;point_of_interest;store,,,,,,,
Fritzworks Printing Services,https://www.fritzworksprinting.com/,3815 E 1st Ave unit 301,Burnaby,BC,V5C 3V6,CA,google_places_text_search,fine art printing in Burnaby BC Canada,ChIJ4WveoSl3hlQRfw0yzJIPCKc,"3815 E 1st Ave unit 301, Burnaby",49.2695105,-123.0208646,(604) 336-4616,+1 604-336-4616,5,41,,https://maps.google.com/?cid=12035887127313124735,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Digital Print Art,http://www.digitalprintart.ca/,2799 Gilmore Ave #120,Burnaby,BC,V5C 6S5,CA,google_places_text_search,fine art printing in Burnaby BC Canada,ChIJm_MDs7l3hlQRmJSUng0kYP4,"2799 Gilmore Ave #120, Burnaby",49.259343,-123.0144469,(604) 710-5107,+1 604-710-5107,,,,https://maps.google.com/?cid=18329690124311631000,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Painted Pixels T-shirt Print | Embroidery | DTF Printing | Sublimation Printing | Screen Printing,https://paintedpixels.ca/,7088 Salisbury Ave,Burnaby,BC,V5E 0A4,CA,google_places_text_search,fine art printing in Burnaby BC Canada,ChIJsb2TVm93hlQRkaRNn6Y0s_Y,"7088 Salisbury Ave, Burnaby",49.2197214,-122.9571921,(438) 725-5397,+1 438-725-5397,5,29,,https://maps.google.com/?cid=17776610044403360913,OPERATIONAL,true,1,clothing_store,,clothing_store;establishment;point_of_interest;store,,,,,,,
New West Photo Lab,http://newwestphotolab.com/,630 12th St,New Westminster,BC,V3M 4J4,CA,google_places_text_search,giclee printing in Burnaby BC Canada,ChIJzT4iUwV3hlQR_lq7Koydlds,"630 12th St, New Westminster",49.20853839999999,-122.9319025,(604) 830-1733,+1 604-830-1733,4.9,431,,https://maps.google.com/?cid=15822726091174009598,OPERATIONAL,true,1,establishment,,establishment;point_of_interest,,,,,,,
Jukebox Print,https://www.jukeboxprint.com/,3511 Jacombs Rd,Richmond,BC,V6V 1Z8,CA,google_places_text_search,print shop in Richmond BC Canada,ChIJ5WClfNVzhlQRXi3KRKjoMQc,"3511 Jacombs Rd, Richmond",49.1889342,-123.0809977,(888) 667-0067,+1 888-667-0067,4.7,673,,https://maps.google.com/?cid=518451241530568030,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
BY Print - Same Day T-Shirts & Hoodies,https://www.byprint.ca/,4000 Number 3 Rd #2090,Richmond,BC,V6X 0J8,CA,google_places_text_search,print shop in Richmond BC Canada,ChIJE2G3oegLhlQRw76kh82UAp8,"4000 Number 3 Rd #2090, Richmond",49.1842036,-123.136074,(236) 260-5378,+1 236-260-5378,5,50,,https://maps.google.com/?cid=11457884012448890563,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
INKlusive Printing,http://www.inklusiveprinting.ca/,6431 Nadine Crescent,Richmond,BC,V7C 2T5,CA,google_places_text_search,print shop in Richmond BC Canada,ChIJ-RQGQBQLhlQRzKfcJXWsoB8,"6431 Nadine Crescent, Richmond",49.1659879,-123.1509972,(604) 723-9208,+1 604-723-9208,5,21,,https://maps.google.com/?cid=2279011030595839948,OPERATIONAL,true,,establishment,,establishment;point_of_interest;store,,,,,,,
EC Photo - Passport Photo Studio & Print Shop in Richmond,https://www.ecphoto.ca/,8888 Odlin Crescent Suite 1395,Richmond,BC,V6X 3Z8,CA,google_places_text_search,print shop in Richmond BC Canada,ChIJDY4qBMdzhlQR4rL5a3zUlK4,"8888 Odlin Crescent Suite 1395, Richmond",49.18398819999999,-123.1266499,(604) 214-8141,+1 604-214-8141,4.9,320,,https://maps.google.com/?cid=12579913290005197538,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
CopyCat Studio,https://www.copycatriso.com/,4000 No 3 Rd Unit 2045,Aberdeen Square,BC,V6X 0J8,CA,google_places_text_search,print shop in Richmond BC Canada,ChIJX39Qj5d1hlQROHULl2hIT3c,"Aberdeen Square, 4000 No 3 Rd Unit 2045, 2nd Floor, Richmond",49.1842942,-123.1360557,,,5,20,,https://maps.google.com/?cid=8597169827721475384,OPERATIONAL,true,1,establishment,,establishment;point_of_interest,,,,,,,
Allegra Richmond BC,https://www.allegramarketingprint.com/locations/richmond-bc/,11,3511 Viking Wy #2,BC,V6V 1N6,CA,google_places_text_search,print shop in Richmond BC Canada,ChIJ6fsXWKF1hlQRqd415Nc7b2o,"11, 3511 Viking Wy #2, Richmond",49.18993099999999,-123.074294,(604) 270-3125,+1 604-270-3125,5,12,,https://maps.google.com/?cid=7669414488867987113,OPERATIONAL,false,1,establishment,,establishment;point_of_interest;store,,,,,,,
London Drugs,https://www.londondrugs.com/stores/london-plaza/s/011?utm_source=GMB&utm_medium=Yext,5971 Number 3 Rd,Richmond,BC,V6X 2E3,CA,google_places_text_search,print shop in Richmond BC Canada,ChIJC8mnWjN1hlQRt7hS_O3ssGg,"5971 Number 3 Rd, Richmond",49.1708894,-123.1375309,(604) 448-4811,+1 604-448-4811,3.7,496,,https://maps.google.com/?cid=7543789882730264759,OPERATIONAL,true,1,electronics_store,,electronics_store;establishment;food;grocery_or_supermarket;health;home_goods_store;pharmacy;point_of_interest;store,,,,,,,
Copies Direct Digital Printing,https://copiesdirect.wixsite.com/copiesdirect,5951 Number 3 Rd #120,Richmond,BC,V6X 2E3,CA,google_places_text_search,print shop in Richmond BC Canada,ChIJmedeRDN1hlQR7_pvcVXmtIM,"5951 Number 3 Rd #120, Richmond",49.1709839,-123.1367779,(604) 232-9756,+1 604-232-9756,3.1,38,,https://maps.google.com/?cid=9490463569426250479,OPERATIONAL,true,1,establishment,,establishment;point_of_interest,,,,,,,
Printing in Richmond,https://printinginrichmond.ca/,11871 Horseshoe Wy,Richmond,BC,V7A 5H5,CA,google_places_text_search,commercial printer in Richmond BC Canada,ChIJnbOFFnLghVQR1RAr_CXyqoI,"11871 Horseshoe Wy, Richmond",49.1267712,-123.0972067,(604) 274-4249,+1 604-274-4249,5,1,,https://maps.google.com/?cid=9415604215929835733,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
LC Printing,https://lcprint.ca/,3071 No 5 Rd #9,Richmond,BC,V6X 2T4,CA,google_places_text_search,commercial printer in Richmond BC Canada,ChIJmeulI1B1hlQRf9GYIgm57g0,"3071 No 5 Rd #9, Richmond",49.19099569999999,-123.0926837,(604) 370-5500,+1 604-370-5500,4.6,12,,https://maps.google.com/?cid=1003943215836483967,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Inter Print Ltd,,8833 Odlin Crescent,Richmond,BC,V6X 3Z7,CA,google_places_text_search,commercial printer in Richmond BC Canada,ChIJ3UA4_yR1hlQR7R2bKmBaPww,"8833 Odlin Crescent, Richmond",49.1826559,-123.1274729,(604) 231-6061,+1 604-231-6061,4.5,8,,https://maps.google.com/?cid=882523421066075629,OPERATIONAL,false,,establishment,,establishment;point_of_interest;store,,,,,,,
Minuteman Press,http://www.richmond10.minutemanpress.ca/,11780 River Rd Unit 110,Richmond,BC,V6X 1Z7,CA,google_places_text_search,commercial printer in Richmond BC Canada,ChIJ85RW7QB1hlQRVKW_f9aDFg4,"11780 River Rd Unit 110, Richmond",49.196618,-123.094234,(604) 273-9050,+1 604-273-9050,4.9,150,2,https://maps.google.com/?cid=1015143723308131668,OPERATIONAL,true,1,establishment,"Chain with a range of print-related products & services, including business cards & signage.",establishment;point_of_interest;store,,,,,,,
Glenmore Custom Print & Packaging,http://www.glenmorecustomprint.com/,13751 Mayfield Pl,Richmond,BC,V6V 2G9,CA,google_places_text_search,commercial printer in Richmond BC Canada,ChIJ44eYJJ51hlQRHcnBH5g6dB8,"13751 Mayfield Pl, Richmond",49.1820344,-123.070916,(604) 273-6323,+1 604-273-6323,4.5,43,,https://maps.google.com/?cid=2266500937516435741,OPERATIONAL,true,1,establishment,,establishment;point_of_interest,,,,,,,
Laser Sharp Printing & Signs,https://lasersharp.ca/,11786 River Rd Unit 130,Richmond,BC,V6X 3Z3,CA,google_places_text_search,commercial printer in Richmond BC Canada,ChIJq87KJzh0hlQRXaHwhP0y9R0,"11786 River Rd Unit 130, Richmond",49.1955,-123.0946669,(604) 428-4028,+1 604-428-4028,4.7,59,,https://maps.google.com/?cid=2158687660832498013,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Thunderbird Press Ltd,http://www.tbirdpress.com/,11451 Bridgeport Rd,Richmond,BC,V6X 1T4,CA,google_places_text_search,commercial printer in Richmond BC Canada,ChIJUVfAOgR1hlQRquR_nTeOWDE,"11451 Bridgeport Rd, Richmond",49.1926704,-123.0973943,(604) 278-3131,+1 604-278-3131,5,3,,https://maps.google.com/?cid=3555748275325756586,OPERATIONAL,true,,establishment,,establishment;point_of_interest,,,,,,,
Anderson Printing Co Ltd,,13988 Maycrest Way,Richmond,BC,V6V 3C3,CA,google_places_text_search,commercial printer in Richmond BC Canada,ChIJrWFPHHZ1hlQRDVN1US596hs,"13988 Maycrest Way, Richmond",49.1789379,-123.0697125,(604) 733-3111,+1 604-733-3111,5,1,,https://maps.google.com/?cid=2011557821462958861,OPERATIONAL,false,,establishment,,establishment;point_of_interest;store,,,,,,,
NEWTYPE Graphics Inc.,http://www.newtypegraphics.com/,12571 Bridgeport Rd #150,Richmond,BC,V6V 1J4,CA,google_places_text_search,fine art printing in Richmond BC Canada,ChIJ0_D8JU91hlQRu7TsO-RLyak,"12571 Bridgeport Rd #150, Richmond",49.1925518,-123.0837661,(604) 445-2378,+1 604-445-2378,5,2,,https://maps.google.com/?cid=12234393306358658235,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Zheeclay Arts Ltd,https://www.zheeclay.com/,1618 W 75th Ave,Vancouver,BC,V6P 6G2,CA,google_places_text_search,fine art printing in Richmond BC Canada,ChIJg-wiF8B0hlQRSgIsUQhJnLk,"1618 W 75th Ave, Vancouver",49.2050631,-123.1448875,(604) 263-2902,+1 604-263-2902,4.8,16,,https://maps.google.com/?cid=13374645293453935178,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Artistree,http://artistree.ca/,5300 Number 3 Rd,Richmond,BC,V6X 2X9,CA,google_places_text_search,fine art printing in Richmond BC Canada,ChIJIVQItDF1hlQR_GUvK13SJSk,"5300 Number 3 Rd, Richmond",49.175651,-123.131467,(778) 297-1622,+1 778-297-1622,4.9,14,,https://maps.google.com/?cid=2965007227291657724,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Canadian Art Prints Inc,https://www.capandwinndevon.com/,6311 Westminster Hwy,Richmond,BC,V7C 4V4,CA,google_places_text_search,fine art printing in Richmond BC Canada,ChIJGTunENAKhlQR9BpiHO736mI,"6311 Westminster Hwy, Richmond",49.17066740000001,-123.1556323,(604) 276-4551,+1 604-276-4551,3,12,,https://maps.google.com/?cid=7127781962317699828,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Vancouver Star Image 星印象摄影,http://www.vsimage.ca/,9111 Beckwith Rd #2070,Richmond,BC,V6X 1V7,CA,google_places_text_search,fine art printing in Richmond BC Canada,ChIJCRQIr-F0hlQRx6_lyR-puZA,"9111 Beckwith Rd #2070, Richmond",49.1939514,-123.1231183,(604) 725-1325,+1 604-725-1325,4.6,65,,https://maps.google.com/?cid=10428552366149447623,OPERATIONAL,true,1,electronics_store,,electronics_store;establishment;home_goods_store;point_of_interest;store,,,,,,,
Ling Long Printing,http://linglongprinting.ca/,11460 Voyageur Way #1,Richmond,BC,V6X 3E1,CA,google_places_text_search,fine art printing in Richmond BC Canada,ChIJMYZqwPh1hlQRDKuCYAbZJO8,"11460 Voyageur Way #1, Richmond",49.190883,-123.09757,(778) 858-6111,+1 778-858-6111,5,3,,https://maps.google.com/?cid=17232136695638567692,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Capulet Art & Framing,https://capuletart.com/,2288 No 5 Rd #150,Richmond,BC,V6X 2T1,CA,google_places_text_search,fine art printing in Richmond BC Canada,ChIJN3U-YAd1hlQRT-QwS4Mwgfo,"2288 No 5 Rd #150, Richmond",49.1950759,-123.0902099,(604) 370-1728,+1 604-370-1728,4.8,53,,https://maps.google.com/?cid=18050762121938003023,OPERATIONAL,true,1,art_gallery,,art_gallery;establishment;point_of_interest;store,,,,,,,
Infigo Imaging,http://infigo.ca/,3820 Cessna Dr #150,Richmond,BC,V7B 0A2,CA,google_places_text_search,giclee printing in Richmond BC Canada,ChIJC-WXL9Z0hlQRl61hyC0X8GM,"3820 Cessna Dr #150, Richmond",49.1854997,-123.1436789,(604) 737-3022,+1 604-737-3022,5,2,,https://maps.google.com/?cid=7201281289568234903,OPERATIONAL,false,1,establishment,,establishment;point_of_interest;store,,,,,,,
NEX3D (By Appointment Only),https://nex3d.com/,12830 Clarke Pl Unit #235,Richmond,BC,V6V 2H5,CA,google_places_text_search,giclee printing in Richmond BC Canada,ChIJ4bOSGLJ1hlQRKEP2Dla9Qro,"12830 Clarke Pl Unit #235, Richmond",49.1853331,-123.0821619,(888) 604-8999,+1 888-604-8999,4.9,59,,https://maps.google.com/?cid=13421498016833356584,OPERATIONAL,true,1,establishment,,establishment;point_of_interest,,,,,,,
Ask Print Shop,http://www.askprintshop.com/,103 Flavelle Rd SE,Calgary,AB,T2H 1E8,CA,google_places_text_search,print shop in Calgary AB Canada,ChIJaZj8JRcjoFMRgBPiJNhBW54,"103 Flavelle Rd SE, Calgary",50.9804206,-114.0616168,(780) 394-5059,+1 780-394-5059,4.9,83,,https://maps.google.com/?cid=11410786477460820864,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Delex Printing Calgary | Printing Shop & Print Services,https://www.delexprinting.ca/,4220 23 St NE Bay 7,Calgary,AB,T2E 6X7,CA,google_places_text_search,print shop in Calgary AB Canada,ChIJn1P5zaNlcVMRw4O-g_NmNY0,"4220 23 St NE Bay 7, Calgary",51.0902519,-114.004088,(825) 733-3539,+1 825-733-3539,5,46,,https://maps.google.com/?cid=10175152129186890691,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
EZ Print And Passport Photos,http://www.ezprintshop.ca/,1200 37 Street SW #45,Calgary,AB,T3C 1S2,CA,google_places_text_search,print shop in Calgary AB Canada,ChIJkyY2Pc9kcVMRYxxrSmXg0L0,"1200 37 Street SW #45, Calgary",51.0423712,-114.1404167,(403) 461-9974,+1 403-461-9974,4.7,299,,https://maps.google.com/?cid=13677678793969048675,OPERATIONAL,true,1,clothing_store,,clothing_store;establishment;point_of_interest;store,,,,,,,
AIRWAYS PRINTING & AIRWAYS PRINTS,http://www.airwaysprinting.com/,139 - 5120 47 St NE,Calgary,AB,T3J 4K3,CA,google_places_text_search,print shop in Calgary AB Canada,ChIJlcS0SYNkcVMRerqNspzpA6E,"139 - 5120 47 St NE, Calgary",51.0989892,-113.9648611,(403) 909-5452,+1 403-909-5452,4.6,100,,https://maps.google.com/?cid=11602373924256332410,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Canvas Prints Calgary,https://www.canvasprintscalgary.com/,2949 17 Ave SE,Calgary,AB,T2B 1N7,CA,google_places_text_search,print shop in Calgary AB Canada,ChIJRRJdzfB7cVMRZhTYJg4wliQ,"2949 17 Ave SE, Calgary",51.03740759999999,-113.991098,(403) 966-0484,+1 403-966-0484,4.9,383,,https://maps.google.com/?cid=2636347469211374694,OPERATIONAL,true,1,art_gallery,,art_gallery;establishment;point_of_interest;store,,,,,,,
NE COPIES & MORE,,5120 47 St NE Unit 127,Calgary,AB,T3J 4N4,CA,google_places_text_search,print shop in Calgary AB Canada,ChIJVdu0SYNkcVMRJLCr3-hyZvY,"5120 47 St NE Unit 127, Calgary",51.0990212,-113.9647338,(403) 568-9918,+1 403-568-9918,3.1,37,,https://maps.google.com/?cid=17755004925465309220,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
YYC Printing,http://www.yycprinting.ca/,6520 36 St NE #2115,Calgary,AB,T3J 2L3,CA,google_places_text_search,print shop in Calgary AB Canada,ChIJr8jDQOtkcVMRxp4GFrXyMCo,"6520 36 St NE #2115, Calgary",51.1107962,-113.9803143,(587) 441-6111,+1 587-441-6111,4.4,29,,https://maps.google.com/?cid=3040196608047619782,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Calgary Print,https://www.calgaryprint.ca/,Unit 500,5075 Falconridge Blvd NE,AB,T3J 3K9,CA,google_places_text_search,print shop in Calgary AB Canada,ChIJuRGAg4ZlcVMRAR85hWpJch8,"Unit 500, 5075 Falconridge Blvd NE, Calgary",51.0968938,-113.9614725,(403) 615-2727,+1 403-615-2727,,,,https://maps.google.com/?cid=2265954284371255041,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
